Date,Close
02/01/2018,10.98
03/01/2018,11.55
04/01/2018,12.12
05/01/2018,11.88
08/01/2018,12.28
09/01/2018,11.82
10/01/2018,11.96
11/01/2018,12.14
12/01/2018,12.02
16/01/2018,11.91
17/01/2018,12.18
18/01/2018,12.47
19/01/2018,12.59
22/01/2018,12.65
23/01/2018,12.94
24/01/2018,12.71
25/01/2018,12.41
26/01/2018,12.95
29/01/2018,13.32
30/01/2018,12.87
31/01/2018,13.74
01/02/2018,13.25
02/02/2018,12.45
05/02/2018,11.57
06/02/2018,11.65
07/02/2018,11.6
08/02/2018,11.22
09/02/2018,11.31
12/02/2018,11.68
13/02/2018,11.78
14/02/2018,12.2
15/02/2018,12.19
16/02/2018,11.82
20/02/2018,12.02
21/02/2018,11.72
22/02/2018,11.84
23/02/2018,12.07
26/02/2018,12.42
27/02/2018,12.53
28/02/2018,12.11
01/03/2018,11.9
02/03/2018,11.81
05/03/2018,11.91
06/03/2018,11.76
07/03/2018,12.24
08/03/2018,11.97
09/03/2018,11.7
12/03/2018,11.52
13/03/2018,11.64
14/03/2018,11.36
15/03/2018,11.46
16/03/2018,11.47
19/03/2018,11.43
20/03/2018,11.11
21/03/2018,11.26
22/03/2018,10.91
23/03/2018,10.63
26/03/2018,10.44
27/03/2018,10
28/03/2018,9.81
29/03/2018,10.05
02/04/2018,9.53
03/04/2018,9.55
04/04/2018,9.77
05/04/2018,10.02
06/04/2018,9.61
09/04/2018,9.53
10/04/2018,9.98
11/04/2018,9.82
12/04/2018,10.08
13/04/2018,9.93
16/04/2018,10.09
17/04/2018,10.52
18/04/2018,10.36
19/04/2018,10.11
20/04/2018,9.99
23/04/2018,10.04
24/04/2018,10.09
25/04/2018,9.71
26/04/2018,11.04
27/04/2018,11.11
30/04/2018,10.88
01/05/2018,11.13
02/05/2018,10.97
03/05/2018,10.93
04/05/2018,11.28
07/05/2018,11.59
08/05/2018,11.61
09/05/2018,11.95
10/05/2018,12.13
11/05/2018,11.95
14/05/2018,12.23
15/05/2018,12.45
16/05/2018,12.82
17/05/2018,12.82
18/05/2018,12.82
21/05/2018,12.99
22/05/2018,12.98
23/05/2018,13.1
24/05/2018,13.41
25/05/2018,13.54
29/05/2018,13.36
30/05/2018,13.82
31/05/2018,13.73
01/06/2018,14.4
04/06/2018,14.85
05/06/2018,14.85
06/06/2018,15.67
07/06/2018,14.89
08/06/2018,15.25
11/06/2018,15.73
12/06/2018,15.85
13/06/2018,16.32
14/06/2018,16.25
15/06/2018,16.34
18/06/2018,17.11
19/06/2018,16.69
20/06/2018,16.52
21/06/2018,15.65
22/06/2018,15.8
25/06/2018,15.11
26/06/2018,15.5
27/06/2018,14.97
28/06/2018,15.31
29/06/2018,14.99
02/07/2018,15.16
03/07/2018,15
05/07/2018,15.5
06/07/2018,16.36
09/07/2018,16.61
10/07/2018,16.55
11/07/2018,16.27
12/07/2018,16.56
13/07/2018,16.27
16/07/2018,16.58
17/07/2018,16.87
18/07/2018,16.85
19/07/2018,16.71
20/07/2018,16.5
23/07/2018,16.66
24/07/2018,16.19
25/07/2018,16.05
26/07/2018,18.35
27/07/2018,18.94
30/07/2018,19.42
31/07/2018,18.33
01/08/2018,18.48
02/08/2018,18.79
03/08/2018,18.49
06/08/2018,19.43
07/08/2018,19.56
08/08/2018,19.58
09/08/2018,19.1
10/08/2018,19.06
13/08/2018,19.73
14/08/2018,20.02
15/08/2018,19.7
16/08/2018,19.33
17/08/2018,19.77
20/08/2018,19.98
21/08/2018,20.4
22/08/2018,20.9
23/08/2018,22.29
24/08/2018,23.98
27/08/2018,25.26
28/08/2018,25.05
29/08/2018,25.2
30/08/2018,24.89
31/08/2018,25.17
04/09/2018,28.06
05/09/2018,28.51
06/09/2018,27.84
07/09/2018,27.38
10/09/2018,29.89
11/09/2018,30.1
12/09/2018,32.21
13/09/2018,30.48
14/09/2018,32.72
17/09/2018,32.43
18/09/2018,31.93
19/09/2018,31.21
20/09/2018,31.18
21/09/2018,31.02
24/09/2018,32.61
25/09/2018,32.57
26/09/2018,32.19
27/09/2018,32.59
28/09/2018,30.89
01/10/2018,31.42
02/10/2018,29.02
03/10/2018,28.43
04/10/2018,27.78
05/10/2018,27.35
08/10/2018,26.46
09/10/2018,27.24
10/10/2018,25
11/10/2018,25.3
12/10/2018,26.34
15/10/2018,26.26
16/10/2018,28.18
17/10/2018,27.3
18/10/2018,26.62
19/10/2018,23.66
22/10/2018,25.03
23/10/2018,25.09
24/10/2018,22.79
25/10/2018,19.27
26/10/2018,17.63
29/10/2018,16.85
30/10/2018,17.2
31/10/2018,18.21
01/11/2018,20.22
02/11/2018,20.23
05/11/2018,19.9
06/11/2018,20.68
07/11/2018,21.84
08/11/2018,21.2
09/11/2018,21.03
12/11/2018,19.03
13/11/2018,19.61
14/11/2018,20.81
15/11/2018,21.49
16/11/2018,20.66
19/11/2018,19.11
20/11/2018,19.21
21/11/2018,18.73
23/11/2018,19.38
26/11/2018,20.08
27/11/2018,21.05
28/11/2018,21.34
29/11/2018,21.43
30/11/2018,21.3
03/12/2018,23.71
04/12/2018,21.12
06/12/2018,21.3
07/12/2018,19.46
10/12/2018,19.99
11/12/2018,19.98
12/12/2018,20.48
13/12/2018,19.86
14/12/2018,19.9
17/12/2018,18.83
18/12/2018,19.5
19/12/2018,18.16
20/12/2018,17.94
21/12/2018,16.93
24/12/2018,16.65
26/12/2018,17.9
27/12/2018,17.49
28/12/2018,17.82
31/12/2018,18.46
02/01/2019,18.83
03/01/2019,17.05
04/01/2019,19
07/01/2019,20.57
08/01/2019,20.75
09/01/2019,20.19
10/01/2019,19.74
11/01/2019,20.27
14/01/2019,20.23
15/01/2019,20.38
16/01/2019,19.73
17/01/2019,20.25
18/01/2019,20.77
22/01/2019,19.76
23/01/2019,19.8
24/01/2019,20.85
25/01/2019,21.93
28/01/2019,20.18
29/01/2019,19.25
30/01/2019,23.09
31/01/2019,24.41
01/02/2019,24.51
04/02/2019,24.13
05/02/2019,23.31
06/02/2019,23.26
07/02/2019,22.67
08/02/2019,23.05
